id;holdate_start;holdate_end;holdate_pay;nb_conge_acquis;nb_conge_pris;date_demande;decision;date_reponse
1;2022-09-16;2022-09-15;42351;45390;85754;2022-09-16;Refuse;2022-09-15
2;2022-09-16;2022-09-15;96219;82893;8713;2022-09-15;Enattente;2022-09-16
3;2022-09-16;2022-09-15;65556;1538;21998;2022-09-16;Accepte;2022-09-16
4;2022-09-15;2022-09-15;26460;55486;17149;2022-09-15;Enattente;2022-09-16
5;2022-09-15;2022-09-15;4023;26761;44467;2022-09-16;Accepte;2022-09-16
6;2022-09-15;2022-09-15;64626;59086;12162;2022-09-16;Accepte;2022-09-15
7;2022-09-15;2022-09-16;19729;71621;35610;2022-09-15;Refuse;2022-09-15
8;2022-09-16;2022-09-16;44074;97898;42351;2022-09-15;Refuse;2022-09-16
9;2022-09-15;2022-09-16;53363;60147;60768;2022-09-16;Enattente;2022-09-15
10;2022-09-16;2022-09-16;23418;45808;1898;2022-09-16;Refuse;2022-09-16
