id;salaire_base;emploi;date_arrive;classification;type_forfait;nb_heure
1;78244;Assistant panel;2022-09-16;16096;Jour;44429
2;89833;Ergonomic;2022-09-15;84032;Jour;16420
3;17840;Berkshire Checking;2022-09-15;42967;Commission;10164
4;97270;maroon quantifying;2022-09-16;44719;Heure;81527
5;87696;parsing Kwanza;2022-09-16;56799;Jour;12612
6;27913;multi-byte;2022-09-16;14139;Jour;14696
7;36511;Computer Proactive neural;2022-09-15;47732;Jour;30042
8;29540;b c;2022-09-15;87761;Heure;30487
9;66575;Decentralized multi-state;2022-09-15;47272;Commission;91460
10;58510;Tools bandwidth;2022-09-16;49962;Jour;42034
