id;idcc;nom;position;coefficient;valeur_point;base_fixe;salaire_minimaux
1;85102;Handcrafted de services;13245;37411;8011;50675;75404
2;47911;wireless convergence;74444;93658;84828;85368;88380
3;73529;evolve;16882;22676;94693;4509;38609
4;90853;de solution;13242;75374;38210;63403;23774
5;91238;Steel productize;92163;28018;24291;72854;43869
6;40932;Unbranded microchip Account;98899;54272;71766;70606;64159
7;58097;Paraguay;98538;97869;68637;60896;56286
8;25065;optimizing AI;30016;872;20217;93982;18518
9;69212;Generic;71227;46720;29517;55621;26948
10;8307;help-desk maximize;38924;68464;69937;47723;1130
