id;name;famille;taux;start_date;end_date;actuel
1;Chypre firewall;AutresCotisationsEmployeur;84479;2022-09-16;2022-09-15;true
2;parse;AssuranceChomage;20005;2022-09-16;2022-09-16;false
3;b plum;Sante;5838;2022-09-15;2022-09-16;true
4;Oberkampf matrix;CGSCRDS;23531;2022-09-16;2022-09-16;true
5;Rubber grid-enabled;AutresCotisationsEmployeur;42612;2022-09-16;2022-09-15;true
6;mesh Gorgeous;ReductionCotisationsPatronales;62127;2022-09-15;2022-09-16;true
7;Mouse;Famille;94321;2022-09-16;2022-09-16;false
8;a solid benchmark;Sante;55997;2022-09-16;2022-09-16;false
9;user-facing Bretagne Industrial;AutresCotisationsEmployeur;11317;2022-09-16;2022-09-15;true
10;Ball a;CGSCRDS;59153;2022-09-16;2022-09-16;true
